title,author,user_rating,published_year,avg_rating,ratings_count
"Midnight Sun(The Twilight Saga, #5)","Meyer, Stephenie",4,2020,3.74,289821
O Fim da Infância,"Clarke, Arthur C.",4,1953,4.12,168110
Por Lugares Incríveis,"Niven, Jennifer",4,2015,4.12,606923
The Silent Patient,"Michaelides, Alex",4,2019,4.17,2852976
"They Both Die at the End(Death-Cast, #1)","Silvera, Adam",4,2017,3.75,822447
Flores para Algernon,"Keyes, Daniel",5,1966,4.23,746084
Os 12 Signos de Valentina,"Tavares, Ray",3,2017,4.2,738
"Heartstopper: Volume Four(Heartstopper, #4)","Oseman, Alice",5,2021,4.59,424327
"Heartstopper: Volume Three(Heartstopper, #3)","Oseman, Alice",5,2020,4.55,479941
If We Were Villains,"Rio, M.L.",4,2017,4.12,359548
"It Ends with Us(It Ends with Us, #1)","Hoover, Colleen",4,2016,4.11,4268815
Vergonha,"Cherry, Brittainy C.",4,2018,4.32,31235
"The Rose Society(The Young Elites, #2)","Lu, Marie",3,2015,4.02,67906
"The Young Elites(The Young Elites, #1)","Lu, Marie",3,2014,3.86,140595
"The Stone Sky(The Broken Earth, #3)","Jemisin, N.K.",5,2017,4.34,154854
"The Obelisk Gate(The Broken Earth, #2)","Jemisin, N.K.",4,2016,4.29,182352
"The Fifth Season(The Broken Earth, #1)","Jemisin, N.K.",5,2015,4.3,306732
Dark Matter,"Crouch, Blake",4,2016,4.14,634805
Daisy Jones and The Six,"Reid, Taylor Jenkins",3,2019,4.2,1721593
"Traitor to the Throne(Rebel of the Sands, #2)","Hamilton, Alwyn",4,2017,4.3,27004
"Rebel of the Sands(Rebel of the Sands, #1)","Hamilton, Alwyn",4,2016,3.95,64987
Sadie,"Summers, Courtney",4,2018,4.04,126090
The Seven Husbands of Evelyn Hugo,"Reid, Taylor Jenkins",5,2017,4.4,3683881
"Vicious(Villains, #1)","Schwab, Victoria",5,2013,4.19,290659
Orgulho e Preconceito,"Austen, Jane",5,1813,4.29,4538507
"Skyward(Skyward, #1)","Sanderson, Brandon",5,2018,4.47,156956
"Hero at the Fall(Rebel of the Sands, #3)","Hamilton, Alwyn",4,2017,4.33,19593
Radio Silence,"Oseman, Alice",3,2016,4.18,123167
"The Queen of Nothing(The Folk of the Air, #3)","Black, Holly",4,2019,4.34,869010
"The Wicked King(The Folk of the Air, #2)","Black, Holly",4,2019,4.28,964048
"The Lost Sisters(The Folk of the Air, #1.5)","Black, Holly",2,2018,3.36,101148
"The Cruel Prince(The Folk of the Air, #1)","Black, Holly",4,2018,4.02,1552866
"The Toll(Arc of a Scythe, #3)","Shusterman, Neal",4,2019,4.17,154667
